batch_id,start_chapter,end_chapter,file_count,first_file,last_file
1,1201,1246,5,1197_1206.txt,1237_1246.txt
2,1247,1287,4,1247_1256.txt,1278_1287.txt
3,1288,1337,5,1288_1297.txt,1328_1337.txt
4,1338,1381,4,1338_1347.txt,1367_1381.txt
5,1382,1427,4,1382_1397.txt,1418_1427.txt
6,1428,1476,5,1428_1437.txt,1467_1476.txt
7,1477,1526,5,1477_1486.txt,1517_1526.txt
8,1527,1576,5,1527_1536.txt,1567_1576.txt
9,1577,1626,5,1577_1586.txt,1617_1626.txt
10,1627,1676,5,1627_1636.txt,1667_1676.txt
11,1677,1726,5,1677_1686.txt,1717_1726.txt
12,1727,1775,5,1727_1736.txt,1766_1775.txt
13,1776,1800,3,1776_1785.txt,1796_1805.txt
